provincia;municipio;agregado;zona;poligono;parcela;recinto;dn_surface;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
35;22;0;0;1;4;1;4115,385988;61,80824852;75,62950134;92,46915817;107,3706436;129,3434448;129,8291931;155,7314987;152,8976974;109,7642365;92,94931793;64,87935638;49,68362236
35;22;0;0;1;13;1;2060,788804;61,54659081;75,43913651;92,15818787;107,0842323;129,0438309;129,5082474;155,483078;152,6569214;109,4335976;92,70724869;64,58945847;49,4665699
35;22;0;0;1;21;2;996,8604599;61,32363655;75,26981136;91,88610095;106,8273987;128,8233296;129,2560789;155,3920133;152,5203932;109,216151;92,51075792;64,37576052;49,30082845
35;22;0;0;1;22;1;381,8041105;61,41613509;75,34031779;91,99936442;106,9345496;128,9138103;129,3600682;155,4261162;152,575144;109,3042803;92,59197412;64,46334863;49,36895235
35;22;0;0;1;25;2;445,4369014;61,20880703;75,18218628;91,74419989;106,6934494;128,7068888;129,1236466;155,3389585;152,44367;109,1013145;92,40821126;64,2646188;49,21521304
35;22;0;0;1;39;1;11130,92889;61,21680387;75,18901825;91,75200907;106,7027461;128,6988576;129,1201706;155,2964274;152,4158503;109,0844943;92,40887578;64,26087443;49,21551387
35;22;0;0;1;42;1;582,0027002;61,06343264;75,07160312;91,55939359;106,5217127;128,5334748;128,9347778;155,2004926;152,2927026;108,9178044;92,26748973;64,10674653;49,09876274
35;22;0;0;1;45;1;524,9452005;61,21721833;75,18981615;91,75094481;106,7031391;128,6876241;129,1113775;155,2634352;152,3922233;109,0670014;92,40450641;64,25302415;49,21177207
35;22;0;0;1;69;1;779,4870295;60,52292676;74,65149814;90,8513303;105,8584384;127,8888802;128,2257282;154,7211566;151,7269625;108,2581877;91,74038276;63,5347892;48,67745801
35;22;0;0;1;71;1;650,3437065;60,48680193;74,62300152;90,80223638;105,8125324;127,8423349;128,1751379;154,681469;151,6817908;108,2101746;91,70351078;63,49504379;48,64881826
35;22;0;0;1;87;1;341,0752608;59,87700238;74,13333248;89,94022339;105,0051573;127,0058523;127,274147;153,9094578;150,8090586;107,3516927;91,05733224;62,80689636;48,16204745
